"","author","row_num"
"402","HINSINGER O",170
"403","VANNIER P",170
"404","TROUILLER Y",170
"405","RODY Y",170
"406","GOIRAND PJ",170
"407","PALLA R",170
"408","THOMAS I",170
"409","GUYADER F",170
"410","ROY D",170
"411","BOROT B",170
"412","PLANES N",170
"413","NAUDET S",170
"414","PICO F",170
"415","DUCA D",170
"416","LALANNE F",170
"417","HESLINGA D",170
"418","HAOND M",170
"419","TOVAL A",171
"420","OLMOS A",171
"421","PIATTINI M",171
"422","ORR S",172
"423","RAUNER MS",173
"424","HEIDENBERGER K",173
"425","BERGLUND H",174
"426","HELLSTRM T",174
"427","LIU WY",175
"428","MOHAMMADI S",175
"429","KATEHI LPB",175
"430","KHALKHALI H",175
"431","KURABAYASHI K",175
"432","FILIPPINI R",176
"433","ROMANO P",176
"434","VALERI A",176
"435","HANAKAWA N",177
"436","MATSUMOTO K",177
"437","TORII K",177
"438","KWOK SH",178
"439","YANG CC",178
"440","GOTTSCHALK P",179
"441","BRIGGS RO",180
"442","GRUENBACHER P",180
"443","WYE R",181
"444","BOYER KK",182
"445","OLSON JR",182
"446","LEE G",183
"447","PERRY JL",183
"448","GOTTSCHALK P",184
"449","KHANDELWAL VK",184
"450","LACKEY J",185
"451","BROWN S",185
"452","GURTUNA O",186
"453","HERNANDEZ A",187
"454","MOLAI NT",188
"455","VELAZQUEZ A",189
"456","FARRIS GF",190
"457","CORDERO R",190
"458","VERHAEGHE A",191
"459","KFIR R",191
"460","GJERDE KAP",192
"461","SLOTNICK SA",192
"462","SOBEL MJ",192
"463","AGARWAL R",193
"464","SARKAR MB",193
"465","ECHAMBADI R",193
"466","CALLAHAN D",194
"467","PEDIGO B",194
"468","COOPER RG",195
"469","EDGETT SJ",195
"470","KLEINSCHMIDT EJ",195
"471","NA NA",196
"472","ZHU D",197
"473","PORTER AL",197
"474","PORTER AL",197
"475","PINTO JK",198
"476","CAGLIANO R",199
"477","SPINA G",199
"478","ELDRIDGE S",200
"479","BARBER KD",200
"480","FAIRCLOUGH M",200
"481","WATTS JJS",201
"482","BAIGENT DR",201
"483","SHAW WH",202
"484","NAKAMURA Y",203
"485","TSUJI M",203
"486","KUBASA G",204
"487","HEISS M",204
"488","WILSON DL",205
"489","BENNETT RJ",206
"490","VGSI M",207
"491","WALSH S",208
"492","LINTON J",208
"493","BOYLAN R",208
"494","SYLLA C",208
"495","MENDES P",209
"496","LIYANAGE S",209
"497","SPIVEY WA",210
"498","MUNSON JM",210
"499","SPOON DR",210
"500","IGGLAND B",211
"501","WERDER M",212
"502","SHANE S",213
"503","LOKER S",214
"504","ETTLIE JE",215
"505","DREJER A",216
"506","BENNETT D",216
"507","SOHAL A",216
"508","VAN HOEK RI",217
"509","CHAU PYK",218
"510","HU PJH",218
"511","DEL CANUTO U",219
"512","PIIPPO P",220
"513","KRKKINEN H",220
"514","TUOMINEN M",220
"515","ICHIMURA T",220
"516","ANTTILA M",221
"517","MOLIN E",222
"518","DE LA FUENTE JL",222
"519","NAMBISAN S",223
"520","WILEMON D",223
"521","JUMA C",224
"522","SMITH AD",225
"523","OFFODILE F",225
"524","SHEATHER G",226
"525","EDLER J",227
"526","MEYER-KRAHMER F",227
"527","REGER G",227
"528","CHAU PYK",228
"529","HU PJ",228
"530","RICCIULLI L",229
"531","PORRAS P",229
"532","LINCOLN P",229
"533","KAKKAR P",229
"534","DAWSON S",229
"535","DUTTAGUPTA SP",230
"536","DAWSON P",230
"537","MURGEL G",230
"538","GUARINO J",230
"539","PENTICO C",230
"540","WALTERS R",230
"541","EISENBARTH S",230
"542","WALKER DHT",231
"543","PETERS RJ",231
"544","HAMPSON KD",231
"545","THOMPSON MJ",231
"546","BJRNER D",232
"547","AL-QAHTANI MY",233
"548","RAHIM Z",233
"549","FOLEY T",234
"550","GREER D",234
"551","PUJAD P",234
"552","HONDA H",235
"553","MAHDJOUBI D",236
"554","HARMON G",236
"555","SALOMO S",237
"556","MENSEL N",237
"557","BULLINGER HJ",238
"558","HANER UE",238
"559","JUNG HH",239
"560","BUCHER P",239
"561","KOENIG HF",240
"562","GOBELI DH",240
"563","PHAAL R",241
"564","FARRUKH CJP",241
"565","PROBERT DR",241
"566","KOCAOGLU DF",242
"567","ANDERSON TR",242
"568","BOCHENEK GM",243
"569","RAGUSA JM",243
"570","WATTS RJ",244
"571","PORTER AL",244
"572","BIANCHI AJ",245
"573","LE PECHOUX B",246
"574","LITTLE TJ",246
"575","HONEYCUTT TL",246
"576","BROWER T",247
"577","CORNACHIONE H",247
"578","GUPTA A",248
"579","WHITEHOUSE FR",248
"580","CROTOGINO R.H. CRH",249
"581","SCHMIDBERGER R",250
"582","INTERDONATO D",251
"583","MCCARTHY E",251
"584","DAS A",252
"585","NARASIMHAN R",252
"586","WEN J",253
"587","KOBAYASHI S",253
"588","SCOTT G",254
"589","LE PECHOUX B",255
"590","LITTLE TJ",255
"591","SEWELL G",256
"592","BARKER JR",256
"593","BENNETT CJ",257
"594","SHENHAR AJ",258
"595","RAJAN BABU A",259
"596","GUPTA RN",259
"597","BROWN S",260
"598","MCDERMOTT CM",261
"599","KANG H",261
"600","WALSH S",261
"601","PERALES N",262
"602","CARRETERO LE",262
"603","DELGADO LM",262
"604","MIKKOLA JH",263
"605","STEPHENS CS",264
"606","O'HARA MT",264
"607","OYEBISI TO",265
"608","LAMBERT JH",266
"609","HAIMES YY",266
"610","LI D",266
"611","SCHOOFF RM",266
"612","TULSIANI V",266
"613","WATZKE HJ",267
"614","SAGUY IS",267
"615","MALHOTRA MK",268
"616","HEINE ML",268
"617","GROVER V",268
"618","COATES V",269
"619","FAROOQUE M",269
"620","KLAVANS R",269
"621","LAPID K",269
"622","LINSTONE HA",269
"623","PISTORIUS C",269
"624","PORTER AL",269
"625","SONG M",270
"626","XIE J",270
"627","DI BENEDETTO CA",270
"628","KHARBANDA VP",271
"629","WYNSTRA F",272
"630","VAN WEELE A",272
"631","WEGGEMANN M",272
"632","BERGERON F",273
"633","RAYMOND L",273
"634","RIVARD S",273
"635","RICHTER FJ",274
"636","ZHANG XQ",275
"637","KUMARASWAMY MM",275
"638","NA NA",276
"639","GADDY DE",277
"640","CHANTLER KT",278
"641","DUFF EJ",278
"642","DAVIES LB",278
"643","PALMER S",279
"644","KENNEDY AM",280
"645","BAKER RP",280
"646","RICCIO KJ",280
"647","SONG KH",280
"648","HASTINGS D",281
"649","HUIJIONG W",282
"650","VANGENOT C",283
"651","CHEN Y",284
"652","MCFADYEN R",284
"653","CHAN F",284
"654","KWON JH",285
"655","JEONG MS",285
"656","PARK JT",285
"657","JAN E",286
"658","SERRAT J",286
"659","PAVLOU G",286
"660","SAFE GP",287
"661","NOGUEIRA JMS",287
"662","LOUREIRO AAF",287
"663","MACHADO CM",287
